,FRASE,OBJ/SUBJ
0," ele procura virginia ( jeanne andrada ) , a filha do ex-parceiro de negócios de clay , a quem clay levou à falência e ao suicídio .  ",objetiva
1," isso significa ter um emprego estável , uma namorada decente , respeito pela madrasta e nada de festas selvagens . condições matadoras para maiores de number anos .  ",objetiva
2,a câmera tátil desliza sobre a pele e outras estruturas superficiais ; ,objetiva
3,o tapete no porta-malas do carro está completamente encharcado de água e o corpo foi encontrado bem longe do carro . ,objetiva
4,mas então ele sente falta dele e se arrepende de suas ações . ,objetiva
5,a primeira apresentação aconteceu aqui em outubro de number . ,objetiva
6,como são tratados os caluniadores number . o grande mestre e a imagem number . a donzela do mestre ,objetiva
7," o tenente o ́bannion ( john payne ) e o tenente tripa ( leonel millipore ) da marinha dos eua em number receberam uma ordem do almirantado dos eua para iniciar uma ação contra piratas que ameaçam navios que negociam com a europa e a ásia , incluindo navios americanos .  ",objetiva
8," ao contrário de catch de bloch , come home e war games de biles , que combinavam material documental com cenas de ação , esta foi a primeira vez que goodyear fez um documentário de televisão totalmente live-action baseado em eventos reais .  ",objetiva
9,uma reconstrução dramática que retrata em estilo minimalista um dia chave na vida de um casal que emigrou do líbano . ,objetiva
10," não és está ocasião , a televisão tcheca preparou uma transmissão ao vivo do serviço da igreja paroquial da igreja evangélica dos irmãos tchecos em bremen ii .  ",objetiva
11,o que foi dito quando e como ? ,objetiva
12," em todos os casos , foi literalmente uma corrida não apenas contra o tempo , mas também contra bandidos malvados , traficantes de drogas e traficantes de armas que pensavam que a lei não se aplicava a eles .  ",objetiva
13," a partir desse momento , nickname se torna um jogo .  ",objetiva
14,lea costinha vai visitar o pai com a filha sambei . ,objetiva
15," hammerheads são um dos tubarões mais impressionantes , só de olhar para eles .  ",objetiva
16," você também verá isso na produção televisiva de hoje , que foi editada e filmada para a televisão pelo diretor aza . helena .  ",objetiva
17," no local , ele conhece os donos daquela casa , e é aí que começam os problemas .  ",objetiva
18,ele era um homem que tinha uma propensão à violência e ao deslocamento de consequências para criar uma vida familiar idílica . ,objetiva
19," os animais se divertem e brincam uns com os outros , e muitos deles não têm medo de se aproximar dos humanos .  ",objetiva
20," a sequência direta da série de anime ninfomaníaca ( number ) está aqui , e com ela um grupo de quatro refugiados irredimíveis .  ",objetiva
21," o avô ( la . pé reik ) conta a seus netos vinca e cuba um conto de fadas sobre dragões , e eles brincam de cavaleiro e dragão na floresta .  ",objetiva
22," assim , a família de potoca foi redimida da maldição .  ",objetiva
23," parece quase inacreditável , mas esta produção estreou em junho de number .  ",objetiva
24,tom se apaixona por sua assistente e se casa com ela . ,objetiva
25," depois de uma turnê bem-sucedida de festivais estrangeiros , o premiado curta-metragem está chegando para agradar até mesmo os mais obstinados espectadores domésticos .  ",objetiva
26," em vez disso , suas vidas se tornaram ainda mais complicadas .  ",objetiva
27," coincida de antem en te , ele conhece uma jovem judia , raa en a , a quem decide esconder em sua casa .  ",objetiva
28,todo mundo conhece a história bíblica de adão e eva . ,objetiva
29," o filme ganhou vários prêmios em festivais e foi o último curta-metragem de polanski , antes de sua estreia no longa knife in the water .  ",objetiva
30," para o grupo de esquiadores e ao mesmo tempo os principais protagonistas do filme , a vontade de esquiar é enorme .  ",objetiva
31," o nome deste prêmio de cinema é , sem dúvida , inspirado no nome do paleontólogo francês joachim barrando , que deu o nome à área onde os estúdios cinematográficos de barrando foram criados .  ",objetiva
32," a narrativa centra-se na disputa entre duas personalidades distintas da revolução - maomé e danton , que se torna vítima do processo político , é arrebatado das alturas do orgulho , poder e riqueza - e termina sua vertiginosa carreira na forca .  ",objetiva
33,um divertido programa educacional para crianças de number a number anos que explica conceitos básicos do mundo das finanças . ,objetiva
34," é um grande pacote de coragem , conhecimento , não é apenas um trabalho artesanal como processar o material , esculpir a cabeça , cortar os lóbulos e trabalhá-los em uma forma para que possam ser dobrados e se encaixam no molde .  ",objetiva
35,exerce it os estrangeiros ocupam havana e a guerra civil paira no ar . ,objetiva
36,o documentário de hoje vai nos oferecer várias histórias diferentes da frança . ,objetiva
37," o personagem principal do filme foi modelado após a verdadeira estrela indiana dos anos number , silk smith .  ",objetiva
38," maciel acredita que wimbledon está ao seu alcance , até que eles se juntam a igor ( bart łomiej katz ) , um jovem e promissor tenista que também começa a treinar com maciel .  ",objetiva
39," sua outra grande força é a atuação , especialmente o praticamente desconhecido lenine baker no papel principal de larry , que foi indicado ao globo de ouro por sua notável criação ( foi , infelizmente , o único papel principal de sua curta carreira , que de repente foi terminou por câncer em number , quando tinha apenas number anos ) .  ",objetiva
40," de és está vez em um espírito completamente oposto ao que , por exemplo , em the queen bee .  ",objetiva
41," no entanto , durante o voo , coisas estranhas começam a acontecer a bordo do avião .  ",objetiva
42," infeliz en te , o segundo tiro não sobreviveu , mas sabemos que se passa em um museu .  ",objetiva
43,mas o que todo mundo descobre depois será o pior . ,objetiva
44,com certeza será uma linda noite cheia de boas ações e fortes emoções . ,objetiva
45," por trás dessa atividade de amor a deus , no entanto , está um crime , as viagens de favaro à suíça visam disfarçar o contrabando de diamantes .  ",objetiva
46,kant en a finalmente entende que ela estava sendo usada apenas pelos romanovskys e vai ver vinco . ,objetiva
47,um retrato de um artista extraordinário que esteve em desuso do regime durante toda a sua vida e cuja obra nunca poderia ser apresentada ao público como merecia . ,objetiva
48," convidamos você para a frança , durante o reinado do rei henrique iv . e especialmente luís xis . e xá .  ",objetiva
49," agarra - lo , no entanto , significa cumprir condições muito loucas .  ",objetiva
50,o governo croata está enfrentando dificuldades financeiras e está procurando desesperadamente maneiras inovadoras de economizar dinheiro . ,objetiva
51,nossos oceanos nunca enfrentaram uma ameaça como agora . ,objetiva
52,graham acha que a situação precisa ser abordada local a local . ,objetiva
53," segure a respiração , o trem para atlantis está prestes a partir , com novas aventuras pela frente !  ",objetiva
54," o escritor não faz ideia de que foi escolhido como sucessor de outro homem , do agente number .  ",objetiva
55,os criadores por trás dos sucessos animados wild aves ( chris buck ) e ralf the rubber ( já en difere lee ) foram inspirados desta vez pelo contador de histórias hans christian andersen e criaram uma história familiar sobre um vínculo fraterno que supera até mesmo a magia do gelo incomum . ,objetiva
56, o documentário captura as histórias de quatro ' garotas duronas ' com idades entre sete e trinta e seis e seu desenvolvimento durante o período de dois anos que passamos com elas .  ,objetiva
57," uma gangue de ladrões e assassinos enlouqueceu na bélgica nos anos oitenta , deixando muitos mortos , incluindo crianças , em sua sangrenta peregrinação .  ",objetiva
58," ao retornar , carmela protesta não apenas contra essa medida , mas também contra outras mudanças que foram introduzidas em sua sala de aula .  ",objetiva
59," mimoseava descobrirá , mas será tarde demais .  ",objetiva
60," o ex-chefe do melhor agente do mundo descobre que durante uma tarde de golfe com o presidente dos eua , alguém sequestrou o estadista e o substituiu por um ator que é seu sósia ingere perfeito .  ",objetiva
61," o filme foi rodado por quatro diretoras , cada uma com seu papel ( éter am enode - helma sanders-brahms ;  ",objetiva
62,quem de nós não gostaria de experimentá-lo um dia . ,objetiva
63," nicolas ferri também é libertado e , portanto , a próxima investigação do roubo de morfina permanece em carolina .  ",objetiva
64," o destino de seu marido foi processado por tripudie bryksová no livro hope and foneticamente , publicado em number pela editora cotovia .  ",objetiva
65," quando a pequena cidade de bloch amon se encontra entre dois incêndios gigantes , seu destino está selado .  ",objetiva
