,FRASE,OBJ/SUBJ
5035," o filme é baseado na história de um traficante barrido , que pretende derrubar o presidente mexicano .  ",objetiva
5039," após a queda dos talibãs , o filme explora a cidade de herat onde captura as reações dos moradores da cidade expressando suas memórias e suas esperanças .  ",objetiva
5040," para fazer isso , ele decide imitar seus comportamentos , até usar seu casaco de pele para dormir .  ",objetiva
5041," ele fica novamente chocado ao ver a esposa , ela é defensa .  ",objetiva
5046," do outro lado da cidade uma mulher chamada jill valentina tenta escapar da cidade enquanto luta contra zumbi e matt alai , agora transformado em um monstro chamado ` ` o inimigo ` ` que está determinado a destruir todos os que vivem .  ",objetiva
5047," contado como se estivesse lendo as páginas de um diário , junto com um estilo visual impressionante , quieto ilustra que além da beira da loucura está a sanidade de um homem .  ",objetiva
5048,ronda és < / a > foi o ator masculino mais conhecido do mundo na indústria adulta . ,objetiva
5049," no processo , quinn descobre segredos de seu passado e luta com os demônios internos que o tornaram o homem que ele é hoje .  ",objetiva
5050," dirigido por rob barman ( ` ` the x-files ` ` ) , ` ` reina of fire ` ` funde um passado medieval com um futuro pós-apocalíptico neste emocionante conto de aventura e sobrevivência .  ",objetiva
5052," regulas : o primeiro submarino de mísseis nucleares é um documentário sobre a luta da marinha , na era imediatamente após a segunda guerra mundial , para desenvolver e implantar um míssil nuclear lançado de submarino .  ",objetiva
5053," no entanto , price descobre uma lição de vida que ele nunca pensou ser possível na comédia de identidade equivocada dos filmes raw da .  ",objetiva
5054,' arroz con mango ' é uma frase em espanhol que significa ' que bagunça ! ' ,objetiva
5055," agora ele está fora , para finalmente receber sua parte do dinheiro e se reunir com sua família , ou pelo menos vingar o dano causado .  ",objetiva
5061,uma jornada épica por uma paisagem implacável que testará sua própria vontade de sobreviver . ,objetiva
5062," o inferno começa quando otis tenta ajudar a marcar o seu apostador desprezível , colocando em jogo uma estranha reviravolta de eventos .  ",objetiva
5069," filmado em locações nos bairros de williamsburgh e mixadas do brooklyn , hang-up é um conto de number 5mm na tradição de happy gilmar e taxista .  ",objetiva
5070,ela passou a estar no primeiro desfile / de file de moda do brasil . ,objetiva
5071,arauá ( puas fumar ) é um vigilante de alto perfil que logo encontra um problema quando sua mãe ( ramalhete ) fica terrivelmente doente . ,objetiva
5074,um vírus escapou em uma instalação secreta chamada ` ` colmeia ` ` transformando todos os pesquisadores em zumbi famintos e liberando seus laboratórios mutantes ` ` animais ` ` que eles estavam estudando . ,objetiva
5076," sua paz é quebrada em agosto de number , no entanto , quando a índia é concedida a independência .  ",objetiva
5077," não és se pouco tempo , o rio aprendeu sobre as coisas que ele perdeu todo esse tempo .  ",objetiva
5078,paul não vê outra maneira a não ser cometer suicídio . ,objetiva
5079,ambos vão lutar até a morte para não dar um ao outro . ,objetiva
5080,as pessoas muitas vezes culparão o mundo por impedi-las de viver seus sonhos . ,objetiva
5081," en tão esta corrida para alcançar os diamantes se torna mais mortal e todos os três poderes - vibrante , guru e anna se chocam .  ",objetiva
5082," leva it cus , um veterano da marinha volta para casa depois de servir seu país para encontrar a guerra em casa é mais difícil do que qualquer coisa que ele já encontrou , mas exatamente por quem ele está lutando ?  ",objetiva
5083," mariani é recrutado por sands para derrotar o gen . marquez ( tem uma grande conta a acertar com os marchais ) , que tem uma grande treta com marchais para começar .  ",objetiva
5085," william insulou ` ` ( ron perla ) , o psiquiatra chefe de brookdale .  ",objetiva
5086,a tarefa deles agora está cortada para eles : plano a - entrar no negócio de extorsão da moda bom - realizar o maior assalto a banco da índia para recuperar os diamantes plano com - decampar com o saque . ,objetiva
5088," rayne johnson é uma astuta assistente de uma empresa de investimentos que transforma um massacre em uma oportunidade de ouro para um novo estilo de vida melhorado , conseguindo ser mais esperto que os policiais corruptos que estão muito ansiosos para vê-la desaparecer .  ",objetiva
5092," ele tenta outras abordagens legais , que também falham .  ",objetiva
5093," sab en do que a lenda do templo descreve a música mística antiga como a chave para desvendar seus segredos , jake pede a ajuda de samantha ` ` sam ` ` cincada , um musicólogo especialista .  ",objetiva
5096,mau it os anos se passaram desde que o cavaleiro secreto vingou sua família matando o cavaleiro malvado . ,objetiva
5097,ele não se aceita e até os contatos cotidianos com os outros causam sua agressão . ,objetiva
5098," fornecido com uma imagem borrada de william , a mídia transforma seu ministério em uma história de interesse humano que abrange o país em uma caça massiva da mídia por esse ` ` homem milagroso ` ` .  ",objetiva
5100,max finalmente decide ajudar o detetive descrevendo seus sonhos constantes sobre o sequestro . ,objetiva
5102," de pois de ser dispensado no dia dos namorados por mallory , sua namorada de três anos , charlie se vê obcecado e incapaz de viver uma vida normal sem ela .  ",objetiva
5104," en tare estes , ruth , uma menina de number anos , escreve um diário sobre a viagem que vão fazer no atlântico .  ",objetiva
5110," mas esta investigação de assassinato está atraindo vincent de volta para long beach , a autoproclamada cidade à beira-mar , onde o passado estava esperando que ele voltasse .  ",objetiva
5111,uma história sobre um gênio problemático que tenta construir um motor magnético na esperança de reduzir bastante o consumo mundial de combustíveis fósseis e eletricidade . ,objetiva
5112," os dons têm suas próprias manipulações hierárquicas - chante baba ( jackie sharon ) , médio baba ( agulha hercules ) e abade baba ( admita bochecha ) .  ",objetiva
5116," o médico também acha que tem atração por ela , apesar da diferença de idade .  ",objetiva
5121," nada faz esta mulher feliz , incluindo seu marido rico , mas passivo ( tony ) , um chefão farmacêutico .  ",objetiva
5122," no cofre do banco o jovem descobre seu nome , jason bourne .  ",objetiva
5124," ela é auxiliada por sua irmã sue ( bardo dei ) , que opera o sistema de vigilância de panorama mundial da dupla , que lhes permite acessar qualquer sistema de segurança de vídeo do mundo .  ",objetiva
5126," mau it a coisa pode acontecer quando um japonês honesto , jovem e ingênuo visita um país estrangeiro pela primeira vez .  ",objetiva
5127,eva androide é uma jovem muito tensa que constantemente se intromete nos assuntos de suas irmãs e seus maridos . ,objetiva
5128," de repente , campos percebe que tem mais em comum com os migrantes e sua busca por lar , família e liberdade do que pensava .  ",objetiva
5130," lilia black , lutando contra suas memórias dolorosas e os segredos que cercam seu pai moribundo , colide com a vida complicada e obsessiva de morrison daisy nas ruas de nova york .  ",objetiva
5132," de pois de ficar preso no inferno por algum tempo , freddy krueger se encontra com jason coortes depois que jason é enviado para o inferno por creighton duke ( és aqueça a parte ex ; volte para sexta-feira number parte ex ) .  ",objetiva
5133," rajando planeja oferecer sua filha a um homem mais velho , um marido rico e protetor de sua filha .  ",objetiva
5135," a história gira em torno de um pai moribundo e seu filho , que está tentando aprender mais sobre seu pai juntando as histórias que ele reuniu ao longo dos anos .  ",objetiva
5137,uma família incomum e uma equipe de dois estão preparando uma festa em sua aconchegante mansão . ,objetiva
5138," cacá , um vi que trabalha para sã o paulo ema , vem ao rio de janeiro para fazer uma reportagem sobre uma nova banda , cujos integrantes são pobres e moram em uma favela chamada morro do alem & number ; o .  ",objetiva
5141," charlotte contata o salva-vidas perfeito para agradecê-lo , mas nem tudo é o que parece .  ",objetiva
5144," baseado no drama imortal de mesmo nome de eurípides , as bacantes ( bach - ai ' ) é uma releitura intensa e contemporânea do mito clássico em que dioniso , filho de zeus , busca vingança em tebas , a cidade de seu nascimento . e local da morte cruel e horrível de sua mãe mortal semeie .  ",objetiva
5145," tal de então entra tenazmente em uma aliança com o bloodpack , uma equipe de elite de vampiros treinados em todos os modos de combate para derrotar a ameaça dos ceifeiros .  ",objetiva
5146," quando eles encontram a ranger megan , os lobisomens estão ativos na região .  ",objetiva
5148," mas ele conhece o irmão de caca & number ; , nando , que tenta convencê-lo a participar de um golpe .  ",objetiva
5149," adocem en etário sobre robert elizabeth , secretário de defesa nas administrações kennedy e johnson , que posteriormente se tornou presidente do banco mundial .  ",objetiva
5150," ` ` amante de rosa , loira , graduada em direito de harvard , elle woods ( a it herspoon ) retorna nesta sequência , enquanto ela transforma seu conhecimento jurídico e de moda para aprovar um projeto de lei no congresso , recalcando uma segunda vez , depois de adaptar seu jeito de beverly hills para harvard , e agora . . .  ",objetiva
5151," quando o gene retorna , flora se encontra presa no meio de um triângulo .  ",objetiva
5152,o senhor dos vampiros é cerca de number e poucos garotos se metendo em encrencas e depois se metendo em encrencas ainda maiores quando se deparam com uma casa peculiar . ,objetiva
5155," uma noite trágica , john resgata angela de um ato perverso de traição .  ",objetiva
5162,para continuar dando terapia sem sair de casa ele dá pela internet . ,objetiva
5163," não prestes a perder a fortuna que ela acumulou com seu marido egoísta do texas , ela faz uma oferta ao seu servidor de processos , joe ( mathews perry ) que os leva a uma viagem selvagem pelo país .  ",objetiva
5164," mary gilbert , chefe da divisão de investigações de internet do detetive , sua equipe e seu sobrinho desajeitado estão no caso .  ",objetiva
5166,uma menina cega recebe um transplante de córnea para poder enxergar novamente . ,objetiva
5169," após o horrível assassinato de uma jovem em seu bairro , uma mulher autodeterminada que vive na cidade de nova york - como se estivesse testando os limites de sua própria segurança - se lança em uma ligação sexual impossivelmente arriscada .  ",objetiva
5170,ford está fugindo tentando limpar seu nome do assassinato com trem e sua gangue procurando por seu sangue . ,objetiva
5174," in de fá és o e impotente na malásia , munnabhai joga com eles e todos são deportados de volta para mumbai onde o don é o rei sem coroa .  ",objetiva
5184,susie recorre a isso para se tornar a mulher mais bonita do mundo . ,objetiva
5186,agora ele está mexendo com forças do além-túmulo . ,objetiva
5190,ele encontra deus e recebe todos os poderes de deus . ,objetiva
5194," que doce final é a história de um reencontro entre mary e david , que já foram amantes apaixonados - por duas semanas , trinta e cinco anos atrás e não se viram desde .  ",objetiva
