,FRASE,OBJ/SUBJ
7595,john arizona ( nickname sal ) está vivendo nas ruas como um hacker . ,objetiva
7597," de sim de que seu novo vizinho , senhor . mackenzie , o antigo governante de um planeta alienígena distante , se mudou , todos os gatos da vizinhança estão desaparecendo .  ",objetiva
7598," oh sim , e não há regras no jogo .  ",objetiva
7599," para lena , evans representa a vida da qual ela está fugindo .  ",objetiva
7600,cinco homens e mulheres correm contra o tempo ( e às vezes seu próprio talento para auto-sabotagem ) para salvar a casa do grupo sulista consumado da classe superior acadêmica e uma irmandade vingativa . ,objetiva
7604," narrado por james elliot , stand brochagem e doutor . roy meninge .  ",objetiva
7605," os personagens ' se completam em um labirinto de situações , sustentando a ideia de que ' geografia é destino ' e que cada um de nós tem sua própria ' república ' , onde vidas se cruzam .  ",objetiva
7606," a proprietária / para és ai de ante da agência , claire mancuso , elaborou um vídeo de treinamento de number minutos projetado para ajudá-lo a obter satisfação no trabalho como funcionário temporário .  ",objetiva
7608," ` ` a noiva ` ` já fez parte de um grupo de mulheres assassinas de classe mundial , até que o líder do grupo , ` ` bill ` ` e os outros assassinos se voltam contra ela .  ",objetiva
7611," o filme se passa ao longo de um dia como anthony , victoria , michael e sua esposa , sarah , passam a tarde jantando , bebendo e tomando banho na banheira de hidromassagem .  ",objetiva
7612," em uma homenagem clássica aos filmes chineses de artes marciais , ele está envolvido em intensos combates corpo a corpo , incluindo luta de espadas , armas , perseguições de carros e outras formas engenhosas de lutar para mame e matar esses membros do kong .  ",objetiva
7614,o suficiente para garantir o futuro da família de adrien e dar a werner uma última oportunidade de enfrentar a morte de frente . . . ,objetiva
7618," matt estava bêbado e quando ele pegou o rádio do carro , ele atingiu a garota enquanto ela atravessava a rua .  ",objetiva
7620," haris embarca em uma jornada pelo mundo dos afegão-americanos para aprender mais sobre sua cultura , e lá ele encontra tanto humor quanto tragédia .  ",objetiva
7621,não és te lugar distante ele descobre seu interior . ,objetiva
7623," um conhecido próximo ouve a conversa deles , e , prometendo uma taxa , relata a vitória para max ( david cintura ) , de fala mansa , mas mortal líder de uma gangue de bandidos , que envia sua linda amante , cindy ( kelly taylor ) , para seduzir jose , se necessário , para colocar as mãos no bilhete premiado .  ",objetiva
