,FRASE,OBJ/SUBJ
0," as dobras têm um segredo , elas são imortais . elas  ",objetiva
1,és sa pode ser a única chance de lazzo começar uma nova vida e recriar a família que ela tragicamente perdeu quando criança . ,objetiva
2," o livro fala de murray , o velho patriota escocês , que teve seus olhos arrancados e sua casa tirada durante a invasão inglesa .  ",objetiva
4," natural en te , ele retorna ao seu analista doutor . ben nobel ( cristal ) para obter ajuda e descobre que nobel precisa de alguma ajuda séria , pois herdou a prática da família , bem como um estoque excessivo de estresse .  ",objetiva
5," ainda sofrendo de ressaca , julie não percebe que ellen está desaparecida quando o ônibus escolar sai do cemitério .  ",objetiva
6,várias pessoas estão ouvindo a situação de keith no rádio e estão fazendo suas próprias mudanças . ,objetiva
13," fuga real , no entanto , pode ser um objetivo além da possibilidade .  ",objetiva
15," infeliz en te , ele esquece de mencionar que é um jogador profissional com maus instintos e que a onça é emprestada .  ",objetiva
16," não és te clima racialmente carregado , o esquadrão de investigações especiais de elite do lapa ( irmã ) é atribuído a um homicídio quádruplo de alto perfil .  ",objetiva
18," és te documentário segue uma parceria comercial entre um clã de pescadores palestinos de campos de refugiados em gaza e israelenses do assentamento de augita , faixa de gaza .  ",objetiva
19," o bloqueio deste pintor levou a um homem desesperado obcecado com a necessidade de pintar , deixando o artista em estado de desordem .  ",objetiva
20,todas as estruturas sociais desmoronam e uma nova ordem mundial emerge do coração do deserto . ,objetiva
21," quando blake é iniciado , ele concorda em cumprir as três regras fundamentais : compartilhar seu espírito , corpo e alma com os outros ; dedicar sua vida a salvar crianças sem-teto ; e nunca sair a menos que o mestre o expulsa .  ",objetiva
24,de sertã rose é um thriller erótico que leva você através da experiência de vida de um homem . ,objetiva
25,a it te interpreta um jovem graduado de harvard que também representa o personagem de grant . ,objetiva
26,a equipe de blade e o bloodpack são a única linha de defesa que pode impedir que a população de ceifadores acabe com as populações de vampiros e humanos . ,objetiva
27,el és pretendem trazê-la de volta a tel-aviv para salvar sua vida . ,objetiva
28," quando sua sobrinha morre espontaneamente de susto , uma semana depois do dia em que assistiu a um vídeo perturbador , uma jornalista cínica ( naomi watts ) viaja para o noroeste do pacífico em busca das origens da fita e suas ligações com uma série de suicídios em um rancho de cavalos .  ",objetiva
29," embora algumas dessas leis tenham sido derrubadas por legislaturas ou tribunais , no estado do texas os combatentes da liberdade ainda estão trabalhando para eliminar essas leis absurdas e desnecessárias .  ",objetiva
30," sem o conhecimento dos competidores , o anfitrião do jogo fez um acordo com os soldados contratados para guardar o dinheiro , e não tem realmente os melhores interesses do jogador , ou mesmo a segurança básica , no coração .  ",objetiva
31," o primeiro curta totalmente em roteiro a ser produzido pela imageworks , empresa premiada de efeitos visuais e animação de personagens da sony pictures , ` ` the chubbchubbs ` ` apresenta os habitantes alienígenas do planeta gloria , incluindo merecer , seu herói sério , mas desajeitado , a diva cantante , os azais e os chubbchubbs .  ",objetiva
32," mas quando seus sentimentos por cricri decididamente indisponível começam a crescer , e ele realmente se preocupa com brian , o durão giglio começa a se transformar em um ser humano real . que  ",objetiva
33," kong é enviado de volta para buscar algumas coisas para irie e , sem saber , experimenta o smoking de irie e descobre que ele dá poderes extraordinários a qualquer um que veste o terno .  ",objetiva
